_id,camera_view,camera_index,status,reason,time_stamp,inspection_id,inference_image,remark,consolidated
61ce9c844ab84456faf6dfc4,6,6,Accepted,{},2021-12-31 11:30:36,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c844ab84456faf6dfc3.jpg,,True
61ce9c844ab84456faf6dfc6,7,7,Rejected,{'burr': 2},2021-12-31 11:30:36,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c844ab84456faf6dfc5.jpg,,True
61ce9c844ab84456faf6dfc8,8,8,Accepted,{},2021-12-31 11:30:36,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c844ab84456faf6dfc7.jpg,,True
61ce9c854ab84456faf6dfca,9,9,Accepted,{},2021-12-31 11:30:36,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c854ab84456faf6dfc9.jpg,,True
61ce9c854ab84456faf6dfcc,10,10,Accepted,{},2021-12-31 11:30:37,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c854ab84456faf6dfcb.jpg,,True
61ce9c874ab84456faf6dfce,11,11,Accepted,{},2021-12-31 11:30:39,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c874ab84456faf6dfcd.jpg,,True
61ce9c874ab84456faf6dfd0,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:30:39,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c874ab84456faf6dfcf.jpg,,True
61ce9c874ab84456faf6dfd2,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:30:39,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c874ab84456faf6dfd1.jpg,,True
61ce9c884ab84456faf6dfd4,14,14,Rejected,{'dent': 1},2021-12-31 11:30:39,61ce9c7e4ab84456faf6dfb8,http://127.0.0.1:3306/images/61ce9c884ab84456faf6dfd3.jpg,,True
61ce9ca04ab84456faf6dfd8,1,1,Rejected,{'dent': 2},2021-12-31 11:31:04,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca04ab84456faf6dfd7.jpg,,True
61ce9ca04ab84456faf6dfda,2,2,Accepted,{},2021-12-31 11:31:04,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca04ab84456faf6dfd9.jpg,,True
61ce9ca14ab84456faf6dfdc,3,3,Rejected,{'dent': 1},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfdb.jpg,,True
61ce9ca14ab84456faf6dfde,4,4,Accepted,{},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfdd.jpg,,True
61ce9ca14ab84456faf6dfe0,5,5,Accepted,{},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfdf.jpg,,True
61ce9ca14ab84456faf6dfe2,6,6,Accepted,{},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfe1.jpg,,True
61ce9ca14ab84456faf6dfe4,7,7,Rejected,{'burr': 2},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfe3.jpg,,True
61ce9ca14ab84456faf6dfe6,8,8,Accepted,{},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfe5.jpg,,True
61ce9ca14ab84456faf6dfe8,9,9,Accepted,{},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfe7.jpg,,True
61ce9ca14ab84456faf6dfea,10,10,Accepted,{},2021-12-31 11:31:05,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca14ab84456faf6dfe9.jpg,,True
61ce9ca34ab84456faf6dfec,11,11,Accepted,{},2021-12-31 11:31:07,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca34ab84456faf6dfeb.jpg,,True
61ce9ca34ab84456faf6dfee,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:31:07,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca34ab84456faf6dfed.jpg,,True
61ce9ca44ab84456faf6dff0,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:31:08,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca44ab84456faf6dfef.jpg,,True
61ce9ca44ab84456faf6dff2,14,14,Rejected,{'dent': 1},2021-12-31 11:31:08,61ce9ca04ab84456faf6dfd6,http://127.0.0.1:3306/images/61ce9ca44ab84456faf6dff1.jpg,,True
61ce9cd14ab84456faf6dff6,1,1,Rejected,{'dent': 2},2021-12-31 11:31:53,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd14ab84456faf6dff5.jpg,,True
61ce9cd24ab84456faf6dff8,2,2,Accepted,{},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6dff7.jpg,,True
61ce9cd24ab84456faf6dffa,3,3,Rejected,{'dent': 1},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6dff9.jpg,,True
61ce9cd24ab84456faf6dffc,4,4,Accepted,{},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6dffb.jpg,,True
61ce9cd24ab84456faf6dffe,5,5,Accepted,{},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6dffd.jpg,,True
61ce9cd24ab84456faf6e000,6,6,Accepted,{},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6dfff.jpg,,True
